Currency,Cash (Sell),Cash (Buy),Transfer (Sell),Transfer (Buy),Date,Currency_cleaned
USD$,77.2519,77.0519,77.2019,77.1019,01/01/2020,USD$
EURO€,86.6275,86.0275,86.4575,86.1975,01/01/2020,EURO€
POUND£,101.7175,100.9175,101.4675,101.1675,01/01/2020,POUND£
SWISS₣,78.3750,77.8750,78.2250,78.0250,01/01/2020,SWISS₣
INDIAN Rs.,1.0929,1.0829,1.0899,1.0859,01/01/2020,INDIAN Rs.
PAKISTAN Rs.,0.4856,0.4776,0.4826,0.4806,01/01/2020,PAKISTAN Rs.
IRAN Toman,0.0063,0.0057,0.0062,0.0058,01/01/2020,IRAN Toman
CNY¥,11.3050,10.9050,11.2050,11.0050,01/01/2020,CNY¥
UAE DIRHAM,21.0850,20.9850,21.0650,21.0050,01/01/2020,UAE DIRHAM
SAUDI RIYAL,20.5341,20.4341,20.5141,20.4541,01/01/2020,SAUDI RIYAL
USD$,77.2963,77.0963,77.2463,77.1463,01/02/2020,USD$
EURO€,86.5273,85.9273,86.3573,86.0973,01/02/2020,EURO€
POUND£,101.4150,100.6150,101.1650,100.8650,01/02/2020,POUND£
SWISS₣,78.5000,78.0000,78.3500,78.1500,01/02/2020,SWISS₣
INDIAN Rs.,1.0845,1.0745,1.0815,1.0775,01/02/2020,INDIAN Rs.
PAKISTAN Rs.,0.4871,0.4791,0.4841,0.4821,01/02/2020,PAKISTAN Rs.
IRAN Toman,0.0063,0.0057,0.0062,0.0058,01/02/2020,IRAN Toman
CNY¥,11.4917,11.0917,11.3917,11.1917,01/02/2020,CNY¥
UAE DIRHAM,21.0646,20.9646,21.0446,20.9846,01/02/2020,UAE DIRHAM
SAUDI RIYAL,20.5750,20.4750,20.5550,20.4950,01/02/2020,SAUDI RIYAL
USD$,77.2500,77.0500,77.2000,77.1000,01/04/2020,USD$
EURO€,86.3550,85.7550,86.1850,85.9250,01/04/2020,EURO€
POUND£,100.9364,100.1364,100.6864,100.3864,01/04/2020,POUND£
SWISS₣,78.2727,77.7727,78.1227,77.9227,01/04/2020,SWISS₣
INDIAN Rs.,1.0836,1.0736,1.0806,1.0766,01/04/2020,INDIAN Rs.
PAKISTAN Rs.,0.4857,0.4777,0.4827,0.4807,01/04/2020,PAKISTAN Rs.
IRAN Toman,0.0062,0.0056,0.0061,0.0057,01/04/2020,IRAN Toman
CNY¥,11.4000,11.0000,11.3000,11.1000,01/04/2020,CNY¥
UAE DIRHAM,21.1269,21.0269,21.1069,21.0469,01/04/2020,UAE DIRHAM
SAUDI RIYAL,20.5591,20.4591,20.5391,20.4791,01/04/2020,SAUDI RIYAL
USD$,77.2991,77.0991,77.2491,77.1491,01/05/2020,USD$
EURO€,86.1604,85.5604,85.9904,85.7304,01/05/2020,EURO€
POUND£,100.7229,99.9229,100.4729,100.1729,01/05/2020,POUND£
SWISS₣,78.5518,78.0518,78.4018,78.2018,01/05/2020,SWISS₣
INDIAN Rs.,1.0823,1.0723,1.0793,1.0753,01/05/2020,INDIAN Rs.
PAKISTAN Rs.,0.4811,0.4731,0.4781,0.4761,01/05/2020,PAKISTAN Rs.
IRAN Toman,0.0062,0.0056,0.0061,0.0057,01/05/2020,IRAN Toman
CNY¥,11.3917,10.9917,11.2917,11.0917,01/05/2020,CNY¥
UAE DIRHAM,21.0589,20.9589,21.0389,20.9789,01/05/2020,UAE DIRHAM
SAUDI RIYAL,20.5583,20.4583,20.5383,20.4783,01/05/2020,SAUDI RIYAL
USD$,77.2775,77.0775,77.2275,77.1275,01/06/2020,USD$
EURO€,86.2500,85.6500,86.0800,85.8200,01/06/2020,EURO€
POUND£,100.7000,99.9000,100.4500,100.1500,01/06/2020,POUND£
SWISS₣,78.5938,78.0938,78.4438,78.2438,01/06/2020,SWISS₣
INDIAN Rs.,1.0856,1.0756,1.0826,1.0786,01/06/2020,INDIAN Rs.
PAKISTAN Rs.,0.4818,0.4738,0.4788,0.4768,01/06/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/06/2020,IRAN Toman
CNY¥,11.3313,10.9313,11.2313,11.0313,01/06/2020,CNY¥
UAE DIRHAM,21.0780,20.9780,21.0580,20.9980,01/06/2020,UAE DIRHAM
SAUDI RIYAL,20.5542,20.4542,20.5342,20.4742,01/06/2020,SAUDI RIYAL
USD$,77.5535,77.3535,77.5035,77.4035,01/07/2020,USD$
EURO€,86.4636,85.8636,86.2936,86.0336,01/07/2020,EURO€
POUND£,101.3542,100.5542,101.1042,100.8042,01/07/2020,POUND£
SWISS₣,78.5636,78.0636,78.4136,78.2136,01/07/2020,SWISS₣
INDIAN Rs.,1.0782,1.0682,1.0752,1.0712,01/07/2020,INDIAN Rs.
PAKISTAN Rs.,0.4855,0.4775,0.4825,0.4805,01/07/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,01/07/2020,IRAN Toman
CNY¥,11.3975,10.9975,11.2975,11.0975,01/07/2020,CNY¥
UAE DIRHAM,21.1462,21.0462,21.1262,21.0662,01/07/2020,UAE DIRHAM
SAUDI RIYAL,20.5636,20.4636,20.5436,20.4836,01/07/2020,SAUDI RIYAL
USD$,77.4523,77.2523,77.4023,77.3023,01/08/2020,USD$
EURO€,86.4850,85.8850,86.3150,86.0550,01/08/2020,EURO€
POUND£,101.7900,100.9900,101.5400,101.2400,01/08/2020,POUND£
SWISS₣,78.6150,78.1150,78.4650,78.2650,01/08/2020,SWISS₣
INDIAN Rs.,1.0838,1.0738,1.0808,1.0768,01/08/2020,INDIAN Rs.
PAKISTAN Rs.,0.4849,0.4769,0.4819,0.4799,01/08/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/08/2020,IRAN Toman
CNY¥,11.4167,11.0167,11.3167,11.1167,01/08/2020,CNY¥
UAE DIRHAM,21.1422,21.0422,21.1222,21.0622,01/08/2020,UAE DIRHAM
SAUDI RIYAL,20.5893,20.4893,20.5693,20.5093,01/08/2020,SAUDI RIYAL
USD$,77.4679,77.2679,77.4179,77.3179,01/09/2020,USD$
EURO€,86.2938,85.6938,86.1238,85.8638,01/09/2020,EURO€
POUND£,100.9000,100.1000,100.6500,100.3500,01/09/2020,POUND£
SWISS₣,77.9450,77.4450,77.7950,77.5950,01/09/2020,SWISS₣
INDIAN Rs.,1.0821,1.0721,1.0791,1.0751,01/09/2020,INDIAN Rs.
PAKISTAN Rs.,0.4820,0.4740,0.4790,0.4770,01/09/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,01/09/2020,IRAN Toman
CNY¥,11.4036,11.0036,11.3036,11.1036,01/09/2020,CNY¥
UAE DIRHAM,21.0972,20.9972,21.0772,21.0172,01/09/2020,UAE DIRHAM
SAUDI RIYAL,20.5694,20.4694,20.5494,20.4894,01/09/2020,SAUDI RIYAL
USD$,77.4422,77.2422,77.3922,77.2922,01/11/2020,USD$
EURO€,86.3063,85.7063,86.1363,85.8763,01/11/2020,EURO€
POUND£,101.5781,100.7781,101.3281,101.0281,01/11/2020,POUND£
SWISS₣,78.7775,78.2775,78.6275,78.4275,01/11/2020,SWISS₣
INDIAN Rs.,1.0757,1.0675,1.0727,1.0687,01/11/2020,INDIAN Rs.
PAKISTAN Rs.,0.4870,0.4790,0.4840,0.4820,01/11/2020,PAKISTAN Rs.
IRAN Toman,0.0056,0.0050,0.0055,0.0051,01/11/2020,IRAN Toman
CNY¥,11.4879,11.0879,11.3879,11.1879,01/11/2020,CNY¥
UAE DIRHAM,21.1618,21.0618,21.1418,21.0818,01/11/2020,UAE DIRHAM
SAUDI RIYAL,20.5222,20.4222,20.5022,20.4422,01/11/2020,SAUDI RIYAL
USD$,77.4550,77.2550,77.4050,77.3050,01/12/2020,USD$
EURO€,85.6850,85.0850,85.5150,85.2550,01/12/2020,EURO€
POUND£,101.6039,100.8039,101.3539,101.0539,01/12/2020,POUND£
SWISS₣,79.0125,78.5125,78.8625,78.6625,01/12/2020,SWISS₣
INDIAN Rs.,1.0813,1.0713,1.0783,1.0743,01/12/2020,INDIAN Rs.
PAKISTAN Rs.,0.4861,0.4781,0.4831,0.4811,01/12/2020,PAKISTAN Rs.
IRAN Toman,0.0055,0.0049,0.0054,0.0050,01/12/2020,IRAN Toman
CNY¥,11.3893,10.9893,11.2893,11.0893,01/12/2020,CNY¥
UAE DIRHAM,21.1211,21.0211,21.1011,21.0411,01/12/2020,UAE DIRHAM
SAUDI RIYAL,20.6194,20.5194,20.5994,20.5394,01/12/2020,SAUDI RIYAL
USD$,77.3915,77.1915,77.3415,77.2415,01/13/2020,USD$
EURO€,86.4208,85.8208,86.2508,85.9908,01/13/2020,EURO€
POUND£,100.8870,100.0870,100.6370,100.3370,01/13/2020,POUND£
SWISS₣,78.5229,78.0229,78.3729,78.1729,01/13/2020,SWISS₣
INDIAN Rs.,1.0854,1.0754,1.0824,1.0784,01/13/2020,INDIAN Rs.
PAKISTAN Rs.,0.4854,0.4778,0.4828,0.4808,01/13/2020,PAKISTAN Rs.
IRAN Toman,0.0057,0.0051,0.0056,0.0052,01/13/2020,IRAN Toman
CNY¥,11.3909,10.9909,11.2909,11.0909,01/13/2020,CNY¥
UAE DIRHAM,21.1339,21.0339,21.1139,21.0539,01/13/2020,UAE DIRHAM
SAUDI RIYAL,20.5654,20.4654,20.5454,20.4854,01/13/2020,SAUDI RIYAL
USD$,77.3123,77.1123,77.2623,77.1623,01/14/2020,USD$
EURO€,86.2800,85.6800,86.1100,85.8500,01/14/2020,EURO€
POUND£,100.4550,99.6550,100.2050,99.9050,01/14/2020,POUND£
SWISS₣,78.5850,78.0850,78.4350,78.2350,01/14/2020,SWISS₣
INDIAN Rs.,1.0867,1.0767,1.0837,1.0797,01/14/2020,INDIAN Rs.
PAKISTAN Rs.,0.4873,0.4793,0.4843,0.4823,01/14/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/14/2020,IRAN Toman
CNY¥,11.3800,10.9800,11.2800,11.0800,01/14/2020,CNY¥
UAE DIRHAM,21.0467,20.9467,21.0267,20.9667,01/14/2020,UAE DIRHAM
SAUDI RIYAL,20.5636,20.4636,20.5436,20.4836,01/14/2020,SAUDI RIYAL
USD$,77.2050,77.0050,77.1550,77.0550,01/15/2020,USD$
EURO€,86.2000,85.6000,86.0300,85.7700,01/15/2020,EURO€
POUND£,100.9154,100.1154,100.6654,100.3654,01/15/2020,POUND£
SWISS₣,78.6636,78.1636,78.5136,78.3136,01/15/2020,SWISS₣
INDIAN Rs.,1.0875,1.0775,1.0845,1.0805,01/15/2020,INDIAN Rs.
PAKISTAN Rs.,0.4875,0.4795,0.4845,0.4825,01/15/2020,PAKISTAN Rs.
IRAN Toman,0.0062,0.0056,0.0061,0.0057,01/15/2020,IRAN Toman
CNY¥,11.4400,11.0400,11.3400,11.1400,01/15/2020,CNY¥
UAE DIRHAM,21.1089,21.0089,21.0889,21.0289,01/15/2020,UAE DIRHAM
SAUDI RIYAL,20.5607,20.4607,20.5407,20.4807,01/15/2020,SAUDI RIYAL
USD$,77.0014,76.8014,76.9514,76.8514,01/16/2020,USD$
EURO€,85.9550,85.3550,85.7850,85.5250,01/16/2020,EURO€
POUND£,100.1950,99.3950,99.9450,99.6450,01/16/2020,POUND£
SWISS₣,78.6333,78.1333,78.4833,78.2833,01/16/2020,SWISS₣
INDIAN Rs.,1.0877,1.0777,1.0847,1.0807,01/16/2020,INDIAN Rs.
PAKISTAN Rs.,0.4870,0.4790,0.4840,0.4820,01/16/2020,PAKISTAN Rs.
IRAN Toman,0.0058,0.0052,0.0057,0.0053,01/16/2020,IRAN Toman
CNY¥,11.3857,10.9857,11.2857,11.0857,01/16/2020,CNY¥
UAE DIRHAM,21.0562,20.9562,21.0362,20.9762,01/16/2020,UAE DIRHAM
SAUDI RIYAL,20.5481,20.4481,20.5281,20.4681,01/16/2020,SAUDI RIYAL
USD$,76.8844,76.6844,76.8344,76.7344,01/18/2020,USD$
EURO€,85.8000,85.2000,85.6300,85.3700,01/18/2020,EURO€
POUND£,100.4636,99.6636,100.2136,99.9136,01/18/2020,POUND£
SWISS₣,78.4455,77.9455,78.2955,78.0955,01/18/2020,SWISS₣
INDIAN Rs.,1.0866,1.0766,1.0836,1.0796,01/18/2020,INDIAN Rs.
PAKISTAN Rs.,0.4874,0.4794,0.4844,0.4824,01/18/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/18/2020,IRAN Toman
CNY¥,11.4083,11.0083,11.3083,11.1083,01/18/2020,CNY¥
UAE DIRHAM,21.0386,20.9386,21.0186,20.9586,01/18/2020,UAE DIRHAM
SAUDI RIYAL,20.4545,20.3545,20.4345,20.3745,01/18/2020,SAUDI RIYAL
USD$,77.1625,76.9625,77.1125,77.0125,01/19/2020,USD$
EURO€,85.6321,85.0321,85.4621,85.2021,01/19/2020,EURO€
POUND£,99.7836,98.9836,99.5336,99.2336,01/19/2020,POUND£
SWISS₣,78.4663,77.9663,78.3163,78.1163,01/19/2020,SWISS₣
INDIAN Rs.,1.0889,1.0789,1.0859,1.0819,01/19/2020,INDIAN Rs.
PAKISTAN Rs.,0.4908,0.4828,0.4878,0.4858,01/19/2020,PAKISTAN Rs.
IRAN Toman,0.0058,0.0052,0.0057,0.0053,01/19/2020,IRAN Toman
CNY¥,11.4056,11.0056,11.3056,11.1056,01/19/2020,CNY¥
UAE DIRHAM,21.0323,20.9323,21.0123,20.9523,01/19/2020,UAE DIRHAM
SAUDI RIYAL,20.5083,20.4083,20.4883,20.4283,01/19/2020,SAUDI RIYAL
USD$,77.0800,76.8800,77.0300,76.9300,01/20/2020,USD$
EURO€,85.7636,85.1636,85.5936,85.3336,01/20/2020,EURO€
POUND£,100.0850,99.2850,99.8350,99.5350,01/20/2020,POUND£
SWISS₣,78.7200,78.2200,78.5700,78.3700,01/20/2020,SWISS₣
INDIAN Rs.,1.0924,1.0824,1.0894,1.0854,01/20/2020,INDIAN Rs.
PAKISTAN Rs.,0.4913,0.4833,0.4883,0.4863,01/20/2020,PAKISTAN Rs.
IRAN Toman,0.0056,0.0050,0.0055,0.0051,01/20/2020,IRAN Toman
CNY¥,11.3857,10.9857,11.2857,11.0857,01/20/2020,CNY¥
UAE DIRHAM,21.1154,21.0154,21.0954,21.0354,01/20/2020,UAE DIRHAM
SAUDI RIYAL,20.5071,20.4071,20.4871,20.4271,01/20/2020,SAUDI RIYAL
USD$,77.2058,77.0058,77.1558,77.0558,01/21/2020,USD$
EURO€,85.7917,85.1917,85.6217,85.3617,01/21/2020,EURO€
POUND£,100.0833,99.2833,99.8333,99.5333,01/21/2020,POUND£
SWISS₣,78.9833,78.4833,78.8333,78.6333,01/21/2020,SWISS₣
INDIAN Rs.,1.0942,1.0842,1.0912,1.0872,01/21/2020,INDIAN Rs.
PAKISTAN Rs.,0.4934,0.4854,0.4904,0.4884,01/21/2020,PAKISTAN Rs.
IRAN Toman,0.0054,0.0048,0.0053,0.0049,01/21/2020,IRAN Toman
CNY¥,11.4375,11.0375,11.3375,11.1375,01/21/2020,CNY¥
UAE DIRHAM,21.0225,20.9225,21.0025,20.9425,01/21/2020,UAE DIRHAM
SAUDI RIYAL,20.4964,20.3964,20.4764,20.4164,01/21/2020,SAUDI RIYAL
USD$,76.9667,76.7667,76.9167,76.8167,01/22/2020,USD$
EURO€,85.7354,85.1354,85.5654,85.3054,01/22/2020,EURO€
POUND£,100.000,99.2000,99.7500,99.4500,01/22/2020,POUND£
SWISS₣,77.6045,77.1045,77.4545,77.2545,01/22/2020,SWISS₣
INDIAN Rs.,1.0730,1.0630,1.0700,1.0660,01/22/2020,INDIAN Rs.
PAKISTAN Rs.,0.4916,0.4836,0.4886,0.4866,01/22/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/22/2020,IRAN Toman
CNY¥,11.4104,11.0104,11.3104,11.1104,01/22/2020,CNY¥
UAE DIRHAM,21.0042,20.9042,20.9842,20.9242,01/22/2020,UAE DIRHAM
SAUDI RIYAL,20.4542,20.3542,20.4342,20.3742,01/22/2020,SAUDI RIYAL
USD$,77.0500,76.8500,77.000,76.9000,01/23/2020,USD$
EURO€,85.6050,85.0050,85.4350,85.1750,01/23/2020,EURO€
POUND£,100.2900,99.4900,100.0400,99.7400,01/23/2020,POUND£
SWISS₣,78.4700,77.9700,78.3200,78.1200,01/23/2020,SWISS₣
INDIAN Rs.,1.0883,1.0783,1.0853,1.0813,01/23/2020,INDIAN Rs.
PAKISTAN Rs.,0.4901,0.4821,0.4871,0.4851,01/23/2020,PAKISTAN Rs.
تومان ایرانی,0.0061,0.0055,0.0060,0.0056,01/23/2020,IRAN Toman
CNY¥,11.3500,10.9500,11.2500,11.0500,01/23/2020,CNY¥
UAE DIRHAM,20.9214,20.8214,20.9014,20.8414,01/23/2020,UAE DIRHAM
SAUDI RIYAL,20.4333,20.3333,20.4133,20.3533,01/23/2020,SAUDI RIYAL
USD$,76.9773,76.7773,76.9273,76.8273,01/25/2020,USD$
EURO€,85.5636,84.9636,85.3936,85.1336,01/25/2020,EURO€
POUND£,100.7167,99.9167,100.4667,100.1667,01/25/2020,POUND£
SWISS₣,78.4075,77.9075,78.2575,78.0575,01/25/2020,SWISS₣
INDIAN Rs.,1.0861,1.0761,1.0831,1.0791,01/25/2020,INDIAN Rs.
PAKISTAN Rs.,0.4902,0.4822,0.4872,0.4852,01/25/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/25/2020,IRAN Toman
CNY¥,11.3369,10.9369,11.2369,11.0369,01/25/2020,CNY¥
UAE DIRHAM,21.0321,20.9321,21.0121,20.9521,01/25/2020,UAE DIRHAM
SAUDI RIYAL,20.4912,20.3912,20.4712,20.4112,01/25/2020,SAUDI RIYAL
USD$,76.9375,76.7375,76.8875,76.7875,01/26/2020,USD$
EURO€,85.1614,84.5614,84.9914,84.7314,01/26/2020,EURO€
POUND£,100.1313,99.3313,99.8813,99.5813,01/26/2020,POUND£
SWISS₣,78.2714,77.7714,78.1214,77.9214,01/26/2020,SWISS₣
INDIAN Rs.,1.0913,1.0813,1.0883,1.0843,01/26/2020,INDIAN Rs.
PAKISTAN Rs.,0.4902,0.4822,0.4872,0.4852,01/26/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/26/2020,IRAN Toman
CNY¥,11.3893,10.9893,11.2893,11.0893,01/26/2020,CNY¥
UAE DIRHAM,20.9143,20.8143,20.8943,20.8343,01/26/2020,UAE DIRHAM
SAUDI RIYAL,20.4114,20.3114,20.3914,20.3314,01/26/2020,SAUDI RIYAL
USD$,76.7675,76.5675,76.7175,76.6175,01/27/2020,USD$
EURO€,84.4625,83.8625,84.2925,84.0325,01/27/2020,EURO€
POUND£,99.8938,99.0938,99.6438,99.3438,01/27/2020,POUND£
SWISS₣,78.0273,777.5273,77.8773,77.6773,01/27/2020,SWISS₣
INDIAN Rs.,1.0811,1.0711,1.0781,1.0741,01/27/2020,INDIAN Rs.
PAKISTAN Rs.,0.4911,0.4831,0.4881,0.4861,01/27/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/27/2020,IRAN Toman
CNY¥,11.3806,10.9806,11.2806,11.0806,01/27/2020,CNY¥
UAE DIRHAM,20.9275,20.8275,20.9075,20.8475,01/27/2020,UAE DIRHAM
SAUDI RIYAL,20.5006,20.4006,20.4806,20.4206,01/27/2020,SAUDI RIYAL
USD$,76.8667,76.6667,76.8167,76.7167,01/28/2020,USD$
EURO€,85.2000,84.6000,85.0300,84.7700,01/28/2020,EURO€
POUND£,100.1500,99.3500,99.9000,99.6000,01/28/2020,POUND£
SWISS₣,78.5000,78.000,78.3500,78.1500,01/28/2020,SWISS₣
INDIAN Rs.,1.0925,1.0825,1.0895,1.0855,01/28/2020,INDIAN Rs.
PAKISTAN Rs.,0.4890,0.4810,0.4860,0.4840,01/28/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/28/2020,IRAN Toman
CNY¥,11.7000,11.3000,11.6000,11.4000,01/28/2020,CNY¥
UAE DIRHAM,21.0000,20.9000,20.9800,20.9200,01/28/2020,UAE DIRHAM
SAUDI RIYAL,20.3667,20.2667,20.3467,20.2867,01/28/2020,SAUDI RIYAL
USD$,76.7750,76.5750,76.7250,76.6250,01/29/2020,USD$
EURO€,85.2313,84.6313,85.0613,84.8013,01/29/2020,EURO€
POUND£,100.8250,100.0250,100.5750,100.2750,01/29/2020,POUND£
SWISS₣,78.1525,77.6525,78.0025,77.8025,01/29/2020,SWISS₣
INDIAN Rs.,1.0900,1.0800,1.0870,1.0830,01/29/2020,INDIAN Rs.
PAKISTAN Rs.,0.4893,0.4813,0.4863,0.4843,01/29/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0.056,01/29/2020,IRAN Toman
CNY¥,11.3990,10.9990,11.2990,11.0990,01/29/2020,CNY¥
UAE DIRHAM,20.9917,20.8917,20.9717,20.9117,01/29/2020,UAE DIRHAM
SAUDI RIYAL,20.4417,20.3417,20.4217,20.3617,01/29/2020,SAUDI RIYAL
USD$,76.5300,76.3300,76.4800,76.3800,01/30/2020,USD$
EURO€,84.7545,84.1545,84.5845,84.3245,01/30/2020,EURO€
POUND£,99.8980,99.0980,99.6480,99.3480,01/30/2020,POUND£
SWISS₣,77.9977,77.4977,77.8477,77.6477,01/30/2020,SWISS₣
INDIAN Rs.,1.0874,1.0774,1.0844,1.0804,01/30/2020,INDIAN Rs.
PAKISTAN Rs.,0.4893,0.4813,0.4863,0.4843,01/30/2020,PAKISTAN Rs.
IRAN Toman,0.0056,0.0050,0.0055,0.0051,01/30/2020,IRAN Toman
CNY¥,11.3222,10.9222,11.2222,11.0222,01/30/2020,CNY¥
UAE DIRHAM,20.8250,20.7250,20.8050,20.7450,01/30/2020,UAE DIRHAM
SAUDI RIYAL,20.4265,20.3265,20.4065,20.3465,01/30/2020,SAUDI RIYAL
USD$,76.6808,76.4808,76.6308,76.5308,02/01/2020,USD$
EURO€,85.2333,84.6333,85.0633,84.8033,02/01/2020,EURO€
POUND£,100.2000,99.4000,99.9500,99.6500,02/01/2020,POUND£
SWISS₣,77.9167,77.4167,77.7667,77.5667,02/01/2020,SWISS₣
INDIAN Rs.,1.0909,1.0809,1.0879,1.0839,02/01/2020,INDIAN Rs.
PAKISTAN Rs.,0.4908,0.4828,0.4878,0.4858,02/01/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,02/01/2020,IRAN Toman
CNY¥,11.3417,10.9417,11.2417,11.0417,02/01/2020,CNY¥
UAE DIRHAM,20.8321,20.7321,20.8121,20.7521,02/01/2020,UAE DIRHAM
SAUDI RIYAL,20.2875,20.1875,20.2675,20.2075,02/01/2020,SAUDI RIYAL
USD$,76.7179,76.5179,76.6679,76.5679,02/02/2020,USD$
EURO€,85.1583,84.5583,84.9883,84.7283,02/02/2020,EURO€
POUND£,100.6214,99.8214,100.3714,100.0714,02/02/2020,POUND£
SWISS₣,77.9400,77.4400,77.7900,77.5900,02/02/2020,SWISS₣
INDIAN Rs.,1.0888,1.0788,1.0858,1.0818,02/02/2020,INDIAN Rs.
PAKISTAN Rs.,0.4927,0.4847,0.4897,0.4877,02/02/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,02/02/2020,IRAN Toman
CNY¥,11.2050,10.8050,11.1050,10.9050,02/02/2020,CNY¥
UAE DIRHAM,20.8531,20.7531,20.8331,20.7731,02/02/2020,UAE DIRHAM
SAUDI RIYAL,20.3821,20.2821,20.3621,20.3021,02/02/2020,SAUDI RIYAL
USD$,77.1200,76.9200,77.0700,76.9700,02/03/2020,USD$
EURO€,85.8900,85.2900,85.7200,85.4600,02/03/2020,EURO€
POUND£,101.6900,100.8900,101.4400,101.1400,02/03/2020,POUND£
SWISS₣,78.6625,78.1625,78.5125,78.3125,02/03/2020,SWISS₣
INDIAN Rs.,1.0967,1.0867,1.0937,1.0897,02/03/2020,INDIAN Rs.
PAKISTAN Rs.,0.4952,0.4872,0.4922,0.4902,02/03/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,02/03/2020,IRAN Toman
CNY¥,11.3250,10.9250,11.2250,11.0250,02/03/2020,CNY¥
UAE DIRHAM,21.1313,21.0313,21.1113,21.0513,02/03/2020,UAE DIRHAM
SAUDI RIYAL,20.4813,20.3813,20.4613,20.4013,02/03/2020,SAUDI RIYAL
USD$,76.9542,76.7542,76.9042,76.8042,02/04/2020,USD$
EURO€,85.3500,84.7500,85.1800,84.9200,02/04/2020,EURO€
POUND£,100.3000,99.5000,100.0500,99.7500,02/04/2020,POUND£
SWISS₣,78.1750,77.6750,78.0250,77.8250,02/04/2020,SWISS₣
INDIAN Rs.,1.0933,1.0833,1.0903,1.0863,02/04/2020,INDIAN Rs.
PAKISTAN Rs.,0.4953,0.4873,0.4923,0.4903,02/04/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,02/04/2020,IRAN Toman
CNY¥,11.3083,10.9083,11.2083,11.0083,02/04/2020,CNY¥
UAE DIRHAM,21.0350,20.9350,21.0150,20.9550,02/04/2020,UAE DIRHAM
SAUDI RIYAL,20.4650,20.3650,20.4450,20.3850,02/04/2020,SAUDI RIYAL
USD$,76.8990,76.6990,76.8490,76.7490,02/05/2020,USD$
EURO€,85.3833,84.7833,85.2133,84.9533,02/05/2020,EURO€
POUND£,99.9833,99.1833,99.7333,99.4333,02/05/2020,POUND£
SWISS₣,77.9000,77.4000,77.7500,77.5500,02/05/2020,SWISS₣
INDIAN Rs.,1.0950,1.0850,1.0920,1.0880,02/05/2020,INDIAN Rs.
PAKISTAN Rs.,0.4954,0.4874,0.4924,0.4904,02/05/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,02/05/2020,IRAN Toman
CNY¥,11.3000,10.9000,11.2000,11.0000,02/05/2020,CNY¥
UAE DIRHAM,20.9667,20.8667,20.9467,20.8867,02/05/2020,UAE DIRHAM
SAUDI RIYAL,20.5583,20.4583,20.5383,20.4783,02/05/2020,SAUDI RIYAL
USD$,76.9138,76.7138,76.8638,76.7638,02/06/2020,USD$
EURO€,84.8875,84.2875,84.7175,84.4575,02/06/2020,EURO€
POUND£,99.6625,98.8625,99.4125,99.1125,02/06/2020,POUND£
SWISS₣,78.4500,77.9500,78.3000,78.1000,02/06/2020,SWISS₣
INDIAN Rs.,1.0925,1.0825,1.0895,1.0855,02/06/2020,INDIAN Rs.
PAKISTAN Rs.,0.4953,0.4873,0.4923,0.4903,02/06/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,02/06/2020,IRAN Toman
CNY¥,11.1750,10.7750,11.0750,10.8750,02/06/2020,CNY¥
UAE DIRHAM,20.9000,20.8000,20.8800,20.8200,02/06/2020,UAE DIRHAM
SAUDI RIYAL,20.3938,20.2938,20.3738,20.3138,02/06/2020,SAUDI RIYAL
USD$,76.9969,76.7969,76.9469,76.8469,02/08/2020,USD$
EURO€,84.8667,84.2667,84.6967,84.4367,02/08/2020,EURO€
POUND£,99.6143,98.8143,99.3643,99.0643,02/08/2020,POUND£
SWISS₣,78.1375,77.6375,77.9875,77.7875,02/08/2020,SWISS₣
INDIAN Rs.,1.0951,1.0851,1.0921,1.0881,02/08/2020,INDIAN Rs.
PAKISTAN Rs.,0.4956,0.4876,0.4926,0.4906,02/08/2020,PAKISTAN Rs.
IRAN Toman,0.0060,0.0054,0.0059,0.0055,02/08/2020,IRAN Toman
